Sample.ID;Carbon.IR;d13C;Total.C.ug;Nitrogen.IR;d15N;Total.N.ug;Sample.Weight.mg;site;type;C.N.ratio;C.content;N.content;groups
M-004-Ctrl.light-0;1.09238;-12.15;33.02;0.36871;6.59;3.04;56.7;Mud;Colloidal;10.8618421052632;0.582363315696649;0.0536155202821869;Ms2
M-024-Ctrl.light-8;1.09258;-11.97;15.21;0.36913;7.76;1.61;47.8;Mud;Colloidal;9.4472049689441;0.318200836820084;0.0336820083682008;Ms3
M-024-Ctrl.light-2;1.08946;-14.82;24.44;0.36712;2.23;2.92;62.6;Mud;Colloidal;8.36986301369863;0.390415335463259;0.0466453674121406;Ms3
M-024-Ctrl.light-4;1.08948;-14.8;28.08;0.36837;5.67;3.53;69;Mud;Colloidal;7.95467422096317;0.40695652173913;0.0511594202898551;Ms3
S-024-Ctrl.light-1;1.079;-24.38;15.47;0.36806;4.82;1.47;74.2;Sand;Colloidal;10.5238095238095;0.208490566037736;0.019811320754717;Ss3
M-024-Ctrl.light-1;1.08736;-16.74;32.63;0.36903;7.46;3.1;64.2;Mud;Colloidal;10.5258064516129;0.508255451713396;0.0482866043613707;Ms3
M-000-Ctrl.light-1;1.09061;-13.77;149.64;0.36895;7.25;18.76;52.5;Mud;Colloidal;7.97654584221748;2.85028571428571;0.357333333333333;Ms1
M-000-Ctrl.light-4;1.09008;-14.26;196.32;0.36893;7.21;25.83;67.4;Mud;Colloidal;7.60046457607433;2.91275964391691;0.383234421364985;Ms1
M-004-Ctrl.light-1;1.09256;-11.98;33.93;0.36904;7.5;3.09;60.6;Mud;Colloidal;10.9805825242718;0.55990099009901;0.050990099009901;Ms2
M-024-Ctrl.light-5;1.09225;-12.27;16.38;0.36924;8.04;1.47;49;Mud;Colloidal;11.1428571428571;0.334285714285714;0.03;Ms3
M-024-Ctrl.light-7;1.0901;-14.24;37.7;0.36898;7.32;3.49;83.6;Mud;Colloidal;10.8022922636103;0.450956937799043;0.0417464114832536;Ms3
S-003-Ctrl.light-8;1.0954;-9.39;15.73;0.36837;5.67;1.32;56.5;Sand;Colloidal;11.9166666666667;0.278407079646018;0.0233628318584071;Ss2
S-024-Ctrl.light-2;1.09695;-7.97;17.55;0.36903;7.48;2.3;74.2;Sand;Colloidal;7.6304347826087;0.236522911051213;0.0309973045822102;Ss3
M-004-Ctrl.light-7;1.09964;-5.51;31.33;0.36887;7.03;2.78;67.8;Mud;Colloidal;11.2697841726619;0.462094395280236;0.0410029498525074;Ms2
M-120-Ctrl.light-4-bound;1.08319;-20.56;34.84;0.36666;0.99;4.25;63.5;Mud;Bound;8.19764705882353;0.548661417322835;0.0669291338582677;Ms4
M-000-Ctrl.light-1-bound;1.08647;-17.55;110.19;0.36818;5.14;12.84;67.8;Mud;Bound;8.58177570093458;1.62522123893805;0.189380530973451;Ms1
M-120-Ctrl.light-5-bound;1.08272;-20.99;49.66;0.36717;2.38;5.31;64.6;Mud;Bound;9.35216572504708;0.768730650154799;0.0821981424148607;Ms4
M-000-Ctrl.light-7-bound;1.08401;-19.8;84.74;0.36866;6.47;8.83;64.4;Mud;Bound;9.59682899207248;1.31583850931677;0.137111801242236;Ms1
S-024-Ctrl.light-5-bound;1.08912;-15.13;76.56;0.36862;6.35;15.52;54.8;Sand;Bound;4.93298969072165;1.3970802919708;0.283211678832117;Ss3
M-120-Ctrl.light-8-bound;1.08406;-19.76;43.42;0.36712;2.23;4.73;68.8;Mud;Bound;9.17970401691332;0.631104651162791;0.06875;Ms4
M-120-Ctrl.light-2-bound;1.08285;-20.87;37.83;0.3676;3.55;6.37;72.6;Mud;Bound;5.93877551020408;0.521074380165289;0.0877410468319559;Ms4
S-024-Ctrl.light-2-bound;1.08591;-18.06;41.21;0.36799;4.63;3.09;41.7;Sand;Bound;13.336569579288;0.988249400479616;0.0741007194244604;Ss3
S-024-Ctrl.light-8-bound;1.08147;-22.13;30.42;0.36822;5.26;3.71;59.6;Sand;Bound;8.19946091644205;0.510402684563758;0.062248322147651;Ss3
M-120-Ctrl.light-1-bound;1.08248;-21.2;83.31;0.36834;5.58;8.99;67.1;Mud;Bound;9.26696329254727;1.24157973174367;0.13397913561848;Ms4
M-024-Ctrl.light-1-bound;1.08352;-20.25;64.99;0.36798;4.6;14.09;79.2;Mud;Bound;4.6124911284599;0.820580808080808;0.17790404040404;Ms3
M-120-Ctrl.light-7-bound;1.08288;-20.83;49.27;0.36771;3.86;8.17;68.4;Mud;Bound;6.03059975520196;0.720321637426901;0.119444444444444;Ms4
M-000-Ctrl.light-4-bound;1.08716;-16.92;156.34;0.36838;5.69;20.05;68.7;Mud;Bound;7.79750623441396;2.27569141193595;0.291848617176128;Ms1
M-004-Ctrl.light-8-bound;1.08364;-20.14;62.5;0.36828;5.41;8.81;52.6;Mud;Bound;7.09421112372304;1.18821292775665;0.167490494296578;Ms2
M-024-Ctrl.light-7-bound;1.08245;-21.23;45.82;0.36801;4.69;4.87;53.8;Mud;Bound;9.40862422997947;0.851672862453532;0.0905204460966543;Ms3
M-024-Ctrl.light-2-bound;1.0833;-20.45;41;0.36734;2.83;14.35;55.5;Mud;Bound;2.85714285714286;0.738738738738739;0.258558558558559;Ms3
M-024-Ctrl.light-8-bound;1.08365;-20.14;40.74;0.36782;4.15;9.35;56.9;Mud;Bound;4.3572192513369;0.715992970123023;0.164323374340949;Ms3
S-000-Ctrl.light-4-bound;1.08349;-20.28;25.35;0.36581;-1.35;4.19;56.7;Sand;Bound;6.05011933174224;0.447089947089947;0.0738977072310406;Ss1
M-004-Ctrl.light-5-bound;1.08267;-21.03;45.3;0.36818;5.14;5.54;60.6;Mud;Bound;8.1768953068592;0.747524752475247;0.0914191419141914;Ms2
M-024-Ctrl.light-5-bound;1.08384;-19.96;61.85;0.36806;4.82;10.56;58.4;Mud;Bound;5.85700757575758;1.05907534246575;0.180821917808219;Ms3
S-003-Ctrl.light-2-bound;1.08097;-22.58;52.47;0.36727;2.64;11.6;65.6;Sand;Bound;4.52327586206897;0.79984756097561;0.176829268292683;Ss2
S-024-Ctrl.light-7-bound;1.0755;-27.59;282.23;0.36733;2.82;4.89;66.6;Sand;Bound;57.7157464212679;4.23768768768769;0.0734234234234234;Ss3
S-000-Ctrl.light-7-bound;1.08098;-22.58;25.35;0.36561;-1.91;3.85;55.6;Sand;Bound;6.58441558441558;0.455935251798561;0.0692446043165468;Ss1
S-003-Ctrl.light-1-bound;1.08396;-19.85;29.13;0.36605;-0.7;4.14;70.3;Sand;Bound;7.03623188405797;0.414366998577525;0.0588904694167852;Ss2
S-003-Ctrl.light-7-bound;1.07825;-25.07;67.33;0.36583;-1.31;4.3;65.8;Sand;Bound;15.6581395348837;1.02325227963526;0.0653495440729483;Ss2
S-003-Ctrl.light-8-bound;1.07795;-25.34;66.93;0.36697;1.82;3.96;59.8;Sand;Bound;16.9015151515152;1.11923076923077;0.0662207357859532;Ss2
S-024-Ctrl.light-1-bound;1.07684;-26.36;65.63;0.36712;2.24;3.18;54.1;Sand;Bound;20.6383647798742;1.21312384473198;0.0587800369685767;Ss3
S-003-Ctrl.light-5-bound;1.08216;-21.49;26;0.36724;2.58;3.42;43.3;Sand;Bound;7.60233918128655;0.600461893764434;0.0789838337182448;Ss2
S-003-Ctrl.light-4-bound;1.08315;-20.59;33.3;0.36636;0.16;4.34;64.7;Sand;Bound;7.67281105990783;0.51468315301391;0.0670788253477589;Ss2
S-024-Ctrl.light-4-bound;1.08738;-16.72;52.86;0.36779;4.08;7.76;65.5;Sand;Bound;6.81185567010309;0.807022900763359;0.118473282442748;Ss3
S-000-Ctrl.light-4;1.0887;-15.52;50.78;0.36703;2;2.54;78.3;Sand;Colloidal;19.992125984252;0.6485312899106;0.0324393358876118;Ss1
S-003-Ctrl.light-7;1.09033;-14.02;25.87;0.36652;0.58;2.98;84;Sand;Colloidal;8.68120805369128;0.307976190476191;0.0354761904761905;Ss2
S-003-Ctrl.light-4;1.0931;-11.5;24.96;0.36838;5.68;2.4;66.7;Sand;Colloidal;10.4;0.374212893553223;0.0359820089955022;Ss2
S-003-Ctrl.light-1;1.09275;-11.81;21.04;0.36615;-0.43;2.65;67.2;Sand;Colloidal;7.93962264150943;0.313095238095238;0.0394345238095238;Ss2
S-024-Ctrl.light-8;1.08923;-15.04;17.52;0.36591;-1.08;2.16;67.8;Sand;Colloidal;8.11111111111111;0.258407079646018;0.031858407079646;Ss3
M-120-Ctrl.light-2;1.08945;-14.83;63.29;0.36808;4.86;4.51;105.2;Mud;Colloidal;14.0332594235033;0.601615969581749;0.0428707224334601;Ms4
S-000-Ctrl.light-7;1.09317;-11.43;30.17;0.36771;3.85;3.32;95.4;Sand;Colloidal;9.08734939759036;0.316247379454927;0.0348008385744235;Ss1
S-024-Ctrl.light-7;1.09069;-13.7;17.13;0.36703;2;2.13;69.4;Sand;Colloidal;8.04225352112676;0.246829971181556;0.0306916426512968;Ss3
M-024-Ctrl.light-4-bound;1.08258;-21.11;62.9;0.36842;5.79;6.33;54;Mud;Bound;9.93680884676145;1.16481481481481;0.117222222222222;Ms3
M-004-Ctrl.light-1-bound;1.083;-20.73;61.46;0.36817;5.12;6.17;55.3;Mud;Bound;9.96110210696921;1.11139240506329;0.111573236889693;Ms2
M-004-Ctrl.light-2-bound;1.08324;-20.51;50.78;0.36765;3.69;12.74;48;Mud;Bound;3.98587127158556;1.05791666666667;0.265416666666667;Ms2
M-004-Ctrl.light-4-bound;1.08203;-21.61;49.6;0.36785;4.24;11.22;64.7;Mud;Bound;4.42067736185383;0.76661514683153;0.173415765069552;Ms2
M-004-Ctrl.light-7-bound;1.08282;-20.89;74.88;0.3679;4.38;6.99;52.6;Mud;Bound;10.7124463519313;1.42357414448669;0.132889733840304;Ms2
M-004-Ctrl.light-8-bound;1.08347;-20.3;67.98;0.3675;3.28;7.3;56.2;Mud;Bound;9.31232876712329;1.20960854092527;0.129893238434164;Ms2
