sample.ID;site;EPS;type;compound;groups
M000Ct1;Mud;86.7294329434084;Colloidal;Carbohydrates;Ms1
M000Ct4;Mud;88.1733191744307;Colloidal;Carbohydrates;Ms1
M000Ct7;Mud;51.3060907423271;Colloidal;Carbohydrates;Ms1
M004Ct1;Mud;7.50820840131615;Colloidal;Carbohydrates;Ms2
M004Ct4;Mud;7.98950381165693;Colloidal;Carbohydrates;Ms2
M004Ct7;Mud;9.04835371440664;Colloidal;Carbohydrates;Ms2
M004122;Mud;8.2782810578614;Colloidal;Carbohydrates;Ms2
M004125;Mud;9.1446127964748;Colloidal;Carbohydrates;Ms2
M004128;Mud;9.1446127964748;Colloidal;Carbohydrates;Ms2
M024Ct1;Mud;6.25684033443013;Colloidal;Carbohydrates;Ms3
M024Ct4;Mud;5.19799043168041;Colloidal;Carbohydrates;Ms3
M024Ct7;Mud;5.29424951374857;Colloidal;Carbohydrates;Ms3
M024122;Mud;3.85036328272623;Colloidal;Carbohydrates;Ms3
M024125;Mud;4.42791777513517;Colloidal;Carbohydrates;Ms3
M024128;Mud;3.56158603652176;Colloidal;Carbohydrates;Ms3
S000Ct1;Sand;1.05884990274971;Colloidal;Carbohydrates;Ss1
S000Ct4;Sand;1.82892255929496;Colloidal;Carbohydrates;Ss1
S000Ct7;Sand;0.673813574477091;Colloidal;Carbohydrates;Ss1
S003Ct1;Sand;5.29424951374857;Colloidal;Carbohydrates;Ss2
S003Ct4;Sand;6.25684033443013;Colloidal;Carbohydrates;Ss2
S003Ct7;Sand;5.96806308822566;Colloidal;Carbohydrates;Ss2
S003122;Sand;7.60446748338431;Colloidal;Carbohydrates;Ss2
S003125;Sand;3.08029062618099;Colloidal;Carbohydrates;Ss2
S003128;Sand;4.90921318547595;Colloidal;Carbohydrates;Ss2
S024Ct1;Sand;1.15510898481787;Colloidal;Carbohydrates;Ss3
S024Ct4;Sand;1.7326634772268;Colloidal;Carbohydrates;Ss3
S024Ct7;Sand;1.34762714895418;Colloidal;Carbohydrates;Ss3
S024122;Sand;2.31021796963574;Colloidal;Carbohydrates;Ss3
S024125;Sand;2.11769980549943;Colloidal;Carbohydrates;Ss3
S024128;Sand;1.25136806688603;Colloidal;Carbohydrates;Ss3
M120Ct1;Mud;6.83439482683906;Colloidal;Carbohydrates;Ms4
M120Ct4;Mud;6.16058125236197;Colloidal;Carbohydrates;Ms4
M120Ct7;Mud;5.58302675995304;Colloidal;Carbohydrates;Ms4
M120122;Mud;5.77554492408935;Colloidal;Carbohydrates;Ms4
M120125;Mud;4.62043593927148;Colloidal;Carbohydrates;Ms4
M120128;Mud;5.29424951374857;Colloidal;Carbohydrates;Ms4
M000Ct1;Mud;36.18069768;Colloidal;Proteins;Ms1
M000Ct4;Mud;50.503298;Colloidal;Proteins;Ms1
M000Ct7;Mud;3.95484696;Colloidal;Proteins;Ms1
M004Ct1;Mud;0.885718319999999;Colloidal;Proteins;Ms2
M004Ct4;Mud;26.97331176;Colloidal;Proteins;Ms2
M004Ct7;Mud;24.67146528;Colloidal;Proteins;Ms2
M004122;Mud;12.90647216;Colloidal;Proteins;Ms2
M004125;Mud;8.3027792;Colloidal;Proteins;Ms2
M004128;Mud;10.34886496;Colloidal;Proteins;Ms2
M024Ct1;Mud;0.374196879999999;Colloidal;Proteins;Ms3
M024Ct4;Mud;6.76821488;Colloidal;Proteins;Ms3
M024Ct7;Mud;2.16452192;Colloidal;Proteins;Ms3
M024122;Mud;0;Colloidal;Proteins;Ms3
M024125;Mud;0;Colloidal;Proteins;Ms3
M024128;Mud;0;Colloidal;Proteins;Ms3
S000Ct1;Sand;0;Colloidal;Proteins;Ss1
S000Ct4;Sand;0;Colloidal;Proteins;Ss1
S000Ct7;Sand;0;Colloidal;Proteins;Ss1
S003Ct1;Sand;0;Colloidal;Proteins;Ss2
S003Ct4;Sand;0;Colloidal;Proteins;Ss2
S003Ct7;Sand;0;Colloidal;Proteins;Ss2
S003122;Sand;0;Colloidal;Proteins;Ss2
S003125;Sand;0;Colloidal;Proteins;Ss2
S003128;Sand;0;Colloidal;Proteins;Ss2
S024Ct1;Sand;0;Colloidal;Proteins;Ss3
S024Ct4;Sand;0;Colloidal;Proteins;Ss3
S024Ct7;Sand;0;Colloidal;Proteins;Ss3
S024122;Sand;0;Colloidal;Proteins;Ss3
S024125;Sand;0;Colloidal;Proteins;Ss3
S024128;Sand;0;Colloidal;Proteins;Ss3
M120Ct1;Mud;1.65300048;Colloidal;Proteins;Ms4
M120Ct4;Mud;0;Colloidal;Proteins;Ms4
M120Ct7;Mud;0;Colloidal;Proteins;Ms4
M120122;Mud;0;Colloidal;Proteins;Ms4
M120125;Mud;0;Colloidal;Proteins;Ms4
M120128;Mud;0;Colloidal;Proteins;Ms4
M000Ct1;Mud;62.0871079339605;Bound;Carbohydrates;Ms1
M000Ct4;Mud;6.93065390890721;Bound;Carbohydrates;Ms1
M000Ct7;Mud;0;Bound;Carbohydrates;Ms1
M004Ct1;Mud;5.39050859581673;Bound;Carbohydrates;Ms2
M004Ct4;Mud;0;Bound;Carbohydrates;Ms2
M004Ct7;Mud;23.9685114349708;Bound;Carbohydrates;Ms2
M004122;Mud;0;Bound;Carbohydrates;Ms2
M004125;Mud;0;Bound;Carbohydrates;Ms2
M004128;Mud;19.0592982494949;Bound;Carbohydrates;Ms2
M024Ct4;Mud;0;Bound;Carbohydrates;Ms3
M024Ct7;Mud;0;Bound;Carbohydrates;Ms3
M024122;Mud;1.15510898481787;Bound;Carbohydrates;Ms3
M024125;Mud;4.04288144686254;Bound;Carbohydrates;Ms3
M024128;Mud;0;Bound;Carbohydrates;Ms3
S000Ct1;Sand;0;Bound;Carbohydrates;Ss1
S000Ct4;Sand;0;Bound;Carbohydrates;Ss1
S000Ct7;Sand;0;Bound;Carbohydrates;Ss1
S003Ct1;Sand;2.21395888756758;Bound;Carbohydrates;Ss2
S003Ct4;Sand;2.88777246204467;Bound;Carbohydrates;Ss2
S003Ct7;Sand;0;Bound;Carbohydrates;Ss2
S003122;Sand;4.1391405289307;Bound;Carbohydrates;Ss2
S003125;Sand;0;Bound;Carbohydrates;Ss2
S003128;Sand;0.385036328272625;Bound;Carbohydrates;Ss2
S024Ct1;Sand;0;Bound;Carbohydrates;Ss3
S024Ct4;Sand;2.11769980549943;Bound;Carbohydrates;Ss3
S024Ct7;Sand;3.75410420065808;Bound;Carbohydrates;Ss3
S024122;Sand;0;Bound;Carbohydrates;Ss3
S024125;Sand;1.05884990274971;Bound;Carbohydrates;Ss3
S024128;Sand;0;Bound;Carbohydrates;Ss3
M120Ct1;Mud;22.6208842860166;Bound;Carbohydrates;Ms4
M120Ct4;Mud;0;Bound;Carbohydrates;Ms4
M120Ct7;Mud;0;Bound;Carbohydrates;Ms4
M120122;Mud;0;Bound;Carbohydrates;Ms4
M120125;Mud;8.2782810578614;Bound;Carbohydrates;Ms4
M120128;Mud;0.962590820681559;Bound;Carbohydrates;Ms4
M000Ct1;Mud;9.32582208;Bound;Proteins;Ms1
M000Ct4;Mud;12.13919;Bound;Proteins;Ms1
M000Ct7;Mud;9.83734352;Bound;Proteins;Ms1
M004Ct1;Mud;0.885718319999999;Bound;Proteins;Ms2
M004Ct4;Mud;3.44332552;Bound;Proteins;Ms2
M004Ct7;Mud;16.74288296;Bound;Proteins;Ms2
M004122;Mud;14.6967972;Bound;Proteins;Ms2
M004125;Mud;2.16452192;Bound;Proteins;Ms2
M004128;Mud;9.07006136;Bound;Proteins;Ms2
M024Ct1;Mud;6.51245416;Bound;Proteins;Ms3
M024Ct4;Mud;1.65300048;Bound;Proteins;Ms3
M024Ct7;Mud;4.21060768;Bound;Proteins;Ms3
M024122;Mud;0.885718319999999;Bound;Proteins;Ms3
M024125;Mud;0;Bound;Proteins;Ms3
M024128;Mud;3.1875648;Bound;Proteins;Ms3
S000Ct1;Sand;0;Bound;Proteins;Ss1
S000Ct4;Sand;0;Bound;Proteins;Ss1
S000Ct7;Sand;0;Bound;Proteins;Ss1
S003Ct1;Sand;0;Bound;Proteins;Ss2
S003Ct4;Sand;0;Bound;Proteins;Ss2
S003Ct7;Sand;0;Bound;Proteins;Ss2
S003122;Sand;0;Bound;Proteins;Ss2
S003125;Sand;0;Bound;Proteins;Ss2
S003128;Sand;0;Bound;Proteins;Ss2
S024Ct1;Sand;0;Bound;Proteins;Ss3
S024Ct4;Sand;0;Bound;Proteins;Ss3
S024Ct7;Sand;0;Bound;Proteins;Ss3
S024122;Sand;0;Bound;Proteins;Ss3
S024125;Sand;0;Bound;Proteins;Ss3
S024128;Sand;0;Bound;Proteins;Ss3
M120Ct1;Mud;17.2544044;Bound;Proteins;Ms4
M120Ct4;Mud;17.2544044;Bound;Proteins;Ms4
M120Ct7;Mud;11.11614712;Bound;Proteins;Ms4
M120122;Mud;0.118436159999998;Bound;Proteins;Ms4
M120125;Mud;6.00093272;Bound;Proteins;Ms4
M120128;Mud;5.745172;Bound;Proteins;Ms4
